id,article,highlights
ed0fed726929c1eeabe6c390e47128dbb7d7a055,"By . Mia De Graaf . Britons flocked to beaches across the southern coast yesterday as millions look set to bask in glorious sunshine today. Temperatures soared to 17C in Brighton and Dorset, with people starting their long weekend in deck chairs by the sea. Figures from Asda suggest the unexpected sunshine has also inspired a wave of impromptu barbecues, with sales of sausages and equipment expected to triple those in April. Sun's out: Brighton beach was packed with Britons enjoying the unexpected sunshine to start the long weekend as temperatures hit 17C across the south coast . Although frost is set to hit the south tonight - with temperatures dropping to 1C - Britons stocking up for a barbecue will be in luck tomorrow, with forecasters predicting dry and sunny weather across southern England, southern Wales and the south Midlands. In Weymouth, Dorset, the sun came out in time for the town's annual kite festival, held on the beach. But the good weather has not been enjoyed by all as heavy rain poured down across the north west. Unfortunately, the dark clouds and intermittent rain across northern England and Scotland is set to last throughout the long weekend and into Tuesday. However, the north east enjoyed a bright spell at midday today with sun shining in Harrogate and York ahead of the rainy weekend. Met Office spokesman Helen Roberts told MailOnline: 'It hasn't been great for the whole country - it's been a story of two halves. Crowds took to deckchairs to see in the Bank Holiday weekend on Brighton beach - while rain and clouds swept the country up north . Frost and temperatures of 1C are forecast to hit southern England tonight, but those planning a barbecue can bank on a dry, sunny day tomorrow . According to the Met Office, today's temperatures in Brighton were not unusual for this time of year, but it follows a windy and wet spell . 'The best of the sunshine has been . towards to south and south east, and further north there's been a lot of . cloud and ou","People enjoyed temperatures of 17C at Brighton beach in West Sussex and Weymouth in Dorset .
Asda claims it will sell a million sausages over long weekend despite night temperatures dropping to minus 1C .
But the good weather has not been enjoyed by all as the north west and Scotland have seen heavy rain ."
023cd84001b33aed4ff0f3f5ecb0fdd2151cf543,"A couple who weighed a combined 32st were shamed into slimming by their own family - during Christmas dinner. Margaret Gibson, 37, and her husband, James, 41, from Biddulph, Staffs, started piling on the pounds after the birth of their two children just over a decade ago. But after taunts during the festive feast - and a warning from James's doctor that he couldn't undergo a procedure because he would 'die on the operating table' - the pair took action and have lost more than 7st between them. Wake up call: James, 41, and Margaret Gibson, 37, have shed a combined 7st in the last 11 months . By last Christmas Margaret tipped the scales at 12st 5lb and James weighed an unhealthy 20st. But the mother-of-two received a stark wake-up call when her father made a hurtful comment about her size. Margaret, a law firm secretary, said: 'I can't remember exactly what my father said but he made some sort of flippant comment to me about our appetite and I was really embarrassed. 'It was literally while we were having Christmas dinner and I wasn't very impressed at all, but that's when I decided it was time to start losing weight.' Since joining Weight Watchers in January, Margaret lost 2st 5lb to reach a healthier 10st and husband James shed 4st. Margaret, has dropped from a hefty size 18 to a size 12, and James's waist measurement has shrunk from 44in to 34in. James weighed an unhealthy 20st (right) until he and wife Margaret pledged to slim-down as a pair . Secretary Margaret dropped three dress sizes from a hefty size 18 since joining Weight Watchers in January . 'It was literally while we were having Christmas dinner and I wasn't very impressed at all, but that's when I decided it was time to start losing weight.' The pair piled on the pounds after buying a house, having children and enjoying a 'blow out' for a while . 'We have just changed our style of cooking. Instead of buying a jar of sauce, we make our own with the Weight Watchers recipes. We make sure to eat as a family","Couple started piling on pounds after the birth of two children .
Margaret Gibson weighed 12st 5lb and husband James weighed 20st .
James Gibson's barred from simple op as he 'would die', warned doctor ."
6a70a0d8d3ed365fe1df6d35f1587a8b9b298618,"Video footage shows the heart stopping moment a 17 year old boy was bitten on the hand by a shark. Sam Smith's Go-Pro vision helmet captured the sudden and brief attack while he was spear fishing on the New South Wales south coast on Friday. The teenager can be seen trying to stab the shark with his spear gun as the 1.5 metre predator aggressively lashes out and bites the boy's hand before swimming out of sight. Channel Seven released the footage on Sunday as one of Sydney's most popular beaches was shut down following a shark sighting at Manly beach. The terrifying moment Sam Smith is bitten on the right hand by a shark while spear fishing was captured on his Go-Pro vision helmet . Sam attempted to stab the predator with his spear gun as the shark came at him . The 17-year-old was unsuccessful as the shark very suddenly sunk his teeth into his hand and swam away . The lucky teenager underwent surgery on his hand after the scary encounter . Sam was airlifted from Mollymook Beach, on the NSW south coast, to Sydney to undergo the surgery . The curious boy went under the water to film the shark when he experienced the horrifying encouter . Fishing off Mollymook Beach with his friend Luke Sisinni, Sam went under the water to film the 1.5metre shark when the frightening incident happened. Paramedics rushed to the scene just before midday on Friday, as hundreds of children competing in the 2015 Stramit NSW Country Surf Life Saving Championships looked on. Mr Smith was fishing when he saw the shark and tried to go down to film it, according to his friend Luke Sisinni, the Milton Ulladulla Times reported. 'He said it spun around and started coming for him, so he stabbed it with his spear to try and scare it off, but it just went ballistic and bit him,' Mr Sisinni said. '[Sam] came up screaming saying ""I got bitten by a shark""'. Two ambulances arrived at the beach and the boy was treated with lacerations to his left hand, including multiple lacerations to his fingers. The bo","A 17-year-old boy suffering lacerations to his left hand and fingers .
Sam Smith was spearfishing when he saw a shark 'so went down to film it'
Go-Pro vision helmet captured attack on the NSW south coast on Friday .
He tried to stab it with his spear but the shark 'went ballistic and bit him'
Sam was airlifted from Mollymook beach to Sydney to undergo surgery .
Meanwhile, Manly beach closed on Sunday due to a shark sighting .
Newcastle beach remains closed for ninth consecutive day from a sighting ."
b37204c13ea38b511265e41ac69fb12acfb63f85,"Istanbul, Turkey (CNN) -- About 250 people raced across the Syrian border into Turkey, government officials said Saturday, a flight that reflects the fear and violence gripping the Arab nation. The people hustled to the southern Turkish Yaylidagi district in Hatay province on Friday afternoon, according to local and federal government officials. Turkish Foreign Ministry spokesman Selcuk Unal said the government is trying to determine more about the people and how and why they chose to leave Syria. ""They just came to the border post and want to go in without passports. They were let in,"" Unal said. ""We are trying to figure out whether this is an individual event or the tip of the iceberg."" Yaylidagi Mayor Mustafa Kemal Dagistanli and another local government official, who asked not to be named, said the people are Syrian citizens and Muslims. The local official said most of the people are ethnic Turkmens, and three of them speak Turkish. Most of them are from Qamishli, in the northeastern region, and Latakia, on the western coast. The official said the people say they've been persecuted by the government of President Bashar al-Assad -- now locked in confrontation across the country with anti-government protesters. ""The group is mostly young, there are women and children among them,"" the official said. ""They are in good health condition. There are no health problems."" The military, the local government and the Red Crescent are assisting them with tents and food.","Syrians citizens hightail it to Turkey .
Most of them are ethnic Turkmens, an official says .
Turkey wonders if this is ""the tip of the iceberg"""
c24e5805afd5145bc48410e876db91d44a06be5e,"By . Daily Mail Reporter . PUBLISHED: . 12:53 EST, 3 January 2014 . | . UPDATED: . 06:02 EST, 4 January 2014 . An Australian icebreaker carrying passengers saved from a ship pinned tight by Antarctic sea ice halted its journey home today amid fears that a Chinese ship involved in the rescue is now also icebound. The Aurora Australis had been cracking through thick ice toward open sea after a Chinese helicopter yesterday plucked the passengers from a stranded Russian research ship and carried them aboard. But today, the crew of the Xue Long (Snow Dragon), the Chinese icebreaker that had provided the helicopter, said they were worried about their own ship's ability to escape the ice. Role reversal: The Chinese ship Xue Long, or Snow Dragon, which had gone to rescue passengers stuck in an icebound research vessel, is now itself stuck in the heavy Antarctic sea ice . Complex operation: The Xue Long (Snow Dragon) Chinese icebreaker, as seen from Australia's Antarctic supply ship the . Aurora Australis, sits in an ice pack unable to make its way back to open water . The end is in sight: The first of the 52 passengers on a research ship trapped in Antarctic ice for more than a week were finally rescued by helicopter after several aborted attempts to evacuate them . The helicopter carried the passengers a dozen at a time over approximately five hours . Sea ice was preventing the barge from reaching the Chinese icebreaker, the Snow Dragon, so the passengers are instead being taken to an nice floe next to an Australian vessel which will eventually take them to Tasmania . The Aurora was told to stay in the . area in case the Snow Dragon needs help, according to the Australian . Maritime Safety Authority's Rescue Co-ordination Centre, which oversaw . the rescue. She had been . about to embark on a journey to drop off the 52 scientists and tourists . rescued from research vessel MV Akademik Shokalski at the Australian . island state of Tasmania. The . Snow Dragon, which is at th","The Xue Long had provided the helicopter that helped with the rescue .
But now its crew say they are worried about their ship's ability to escape .
Australian icebreaker Aurora Australis on standby to help stranded ship ."
e80e130d55bf30e5a0f547aaaa4cd9930635bfbd,"(CNN) -- Place a tennis ball into a yellow sock and tuck it into the back of your pants. Now start running. Congratulations! You are a snitch. Don't get caught, or the game ends. This is quidditch, as played by muggles. In JK Rowling's novels, the snitch is a sort-of magical, winged squash ball, pursued by ""seeker"" Harry Potter in a variety of high-stakes, airborne quidditch contests. Nobody on the UCLA campus has a magical, winged squash ball. A man with a tennis ball dangling from his shorts will have to do. ""The snitch is the surrealist aspect of the game,"" concedes Sebastian Milla, former UCLA quidditch player and star of a fly-on-the-wall documentary about his sport. Mudbloods -- a title taken from the novels' derogatory term for wizards with non-magical parents -- explores the result when you take a fictional sport and make it real. In 2005, eight years after the publication of the first Potter book, Vermont's Middlebury College gave birth to ""muggle quidditch,"" which translates Rowling's imaginary sport into our world. Nobody can fly, but a broom between the legs remains mandatory. Three circular goals are used at each end of the field, as per the books. Ten points are scored for getting the ""quaffle"" (a volleyball) through those hoops, and 30 for catching the snitch. Where magical ""bludgers"" are unavailable, they are replaced by dodgeballs thrown at rival players. Finally, and unusually, both magical and muggle quidditch are mixed-gender, full-contact sports. Becoming real . The intrigue for many viewers of Mudbloods will be seeing how this sport works, and discovering who wants to play a sport so closely associated with the world of fantasy fiction. ""It's hard to be taken seriously when people think you're a bunch of geeks,"" MIlla is heard to say as the documentary begins. Players, some of whom have never actually read the Harry Potter books, lament the disdain of athletes from other college sports. Training sessions attract intrigued crowds wielding camera","'Muggle quidditch' replicates Harry Potter's magical sport in the real world .
Invented in 2005, quidditch now supports 170 US college teams and five full-time staff .
Documentary follows UCLA's quidditch team to the Quidditch World Cup .
Quidditch players torn between developing their sport and preserving its roots ."
b6ccf3adac95e852793fe2f9be7220a3bf6a9d23,"‘Gone fishing’ is a phrase usually associated with a quiet afternoon out on the water, fishing rod in hand, pondering the world. But these fishermen decided to forget rod and reel, opting for much more heavy-duty bait, a hand grenade. The stupid men are lucky to be alive after their attempt at catching fish in Russia. Scroll down to watch the video . Bombs away: With his friend's signal, the fishermen holding the grenade drops it into the water hoping to catch some fish. He looks away in anticipation for the blast which is meant to happen underwater . Detonates too early: Just a moment later the grenade explodes as it hits the water . Impact: The explosion knocks the men over and sends equipment and barrels flying into the water . The hand grenade, which . one of them dropped from their inflatable boat, exploded early just as . it hit the water knocking the men over and equipment flying into the water. The . explosion did not destroy the boat but the men remain still, stunned by . the premature blast but seemed able to get up a few moments afterward. The video, filmed presumably from a nearby boat, captured the moments as their hand grenade fishing went horribly wrong. Website LiveLeak.com posted the video online on Monday and it has already been . watched more than 100,000 times and another 10,000 on YouTube. Stunned: The fisherman who dropped the grenade gets up slowly after being thrown across the boat . As the smoke clears: The fisherman goes to the aid of his friend, still dazed by the blast . A LiveLeak staffer said: 'It seems like a shot from a movie went horribly wrong.' Someone commented: 'Hillbilly handfishin' russian style!' Another said: 'I can see safety is of no concern.' A YouTube user said: 'Guess for dinner they're having salmon... Smoked.' Hand grenades are a common, but environmentally catastrophic, way of catching fish in some parts of the world. The explosives are usually detonated underwater allowing the fisherman to collect the dead fish as th","Two fishermen in Russia are knocked over by the blast as a hand grenade they were using to catch fish explodes too early .
The grenade fishing attempt was filmed and has been posted online .
There has been more than 100,000 views of the video ."
09e68430afb555ad65bf0d3a864b207d06b5e5bb,"BlackBerry has finally unveiled the first round of price details and the release date for its Passport phone, after teasing it for months. The 4.5-inch square design launches in the US on Wednesday, and a SIM-free handset will cost $599. It is expected to roll out to more regions 'over the coming months', but prices in these regions may vary due to sales taxes and tariffs. Scroll down for video . The BlackBerry Passport (pictured centre) has a full HD 4.5-inch square screen and shows 60 characters of text, compared to 40 on a rectangular 5-inch device (Samsung's Galaxy S5 5.1-inch device is pictured right). Apple's iPhone 4S is pictured left to show scale. There is also a 13MP rear camera and a 2MP front camera . The details were revealed by the Canadian firm's chief executive John Chen during an interview on Monday, ahead of a BlackBerry event tomorrow. The specific countries that Passport will in available in hasn't been announced, but it's likely to also launch in the UK, Canada and Dubai, because the launch events are being held in these locations. He told the Wall Street Journal that the price of the flagship device should be in the region of $799, but his firm dropped the price to 'get the market interested.' The . BlackBerry Passport has a full HD 4.5-inch square screen, which is said . to offer a similar viewing space to a 5-inch phone, but ‘an even better . viewing experience’ because of the screen’s width. It has 1440x1440 pixel resolution display with a pixel density of 453PPI. Other specifications include a 2.2GHz quad-core Snapdragon 800 processor, 3GB of RAM and 32GB of storage plus expandable storage via microSD card up to 64GB. There is also a 13MP rear camera and a 2MP front camera. The Black Berry Classic is also due to launch at the event. By comparison, Apple's latest iPhone 6 handset starts at $649, while the iPhone 6 Plus costs $749 - both are also available on two-year contracts, with upfront costs starting at $199. Samsung's Galaxy S5 costs a","The BlackBerry Passport has a full HD 4.5-inch square screen .
It shows 60 characters, compared to 40 on a rectangular 5-inch device .
The device combines a large touchscreen with a physical keyboard .
It will launch in the US for $599 before being rolled out to more regions .
Prices in other regions may vary due to sales taxes and tariffs .
Blog post states the device is aimed at architects, writers and medical staff ."
d22daee05fa01e510f519a561eab20835a9d51c7,"No feminist: Today's feminism is utterly irrelevant to Angela . When Newsnight's Emily Maitlis asked me during a debate on the programme this week whether I was a feminist, I hoped my blow-dried hair and figure-hugging dress would give her some clue as to the answer. Feeling a little mischievous, I was tempted to ask her whether I looked like one of those grumpy women in bad clothes who spend their days in a state of agitation about whether it's right to let girls play with dolls. But since I was a guest on the BBC's flagship news programme, I decided to park the sarcasm and simply say that I am not: that today's feminism is utterly irrelevant to me. I explained to Emily and my fellow panellists, Professor Mary Beard and Natascha McElhone, that feminism has betrayed its roots and deteriorated into spurious artificial engineering. Rather than campaigning to help women, feminists today are more likely to be picking fights on Twitter, or dressing up petty grievances as proof of rampant 'sexism'. And, needless to say, these devotees of 'equality' believe you can't be a feminist unless you're Left-wing. Spoiling for a fight is the default position of today's chippy feminists. They've turned nit-picking into an art form - and I told Emily as much. No sooner had I said this than I'd elicited the ire of what I call the 'hash-tag sisters' - those liberal commentators on Twitter who rushed to attack me for my unfashionable conviction that feminism has lost its meaning. I was accused of espousing views which are 'poisonous to society', and called 'sad', 'ignorant' and 'stupid'. Someone bitterly declared I must have enjoyed a 'charmed life' - a lazy generalisation by a socialist grudge-bearer who assumes my convictions have been created from a position of privilege. In fact, my parents were of modest means and couldn't afford private school, but I won a scholarship to attend one. At my all-girls' school no one sought out trite examples of discrimination. We were urged to aim hi","Angela Epstein argues that feminism has lost its meaning .
Rather than campaign to help women, feminists today squabble on Twitter .
As seen by the hash-tag sisters's response to her Newsnight interview ."
9941695312815110203909563bb15539ae1ba934,"(CNN) -- PepsiCo is ending its relationship with rapper Lil Wayne over what the company calls an ""offensive reference to a revered civil rights icon"" -- 14-year-old Emmett Till, who was killed nearly 60 years ago. The rap superstar, featured in the song ""Karate Chop"" by Future, says: ""Beat that p---- up like Emmett Till."" Till, a 14-year-old black youth, was killed in Mississippi in 1955 for allegedly whistling at a white woman. He was beaten to the extent that his face was unrecognizable when his body was discovered. He was identified by a monogrammed ring belonging to his father. Mountain Dew, a brand of PepsiCo, said Friday its relationship with the rapper would end. A Mountain Dew spokesman told CNN, ""We do not plan any additional work with Lil Wayne moving forward. His offensive reference to a revered civil rights icon does not reflect the values of our brand."" The spokesman declined to comment on the company's previous relationship with the artist. Sarah Cunningham, publicist for Lil Wayne's record label, Young Money, issued the following statement to CNN: ""I can confirm that due to creative differences, we mutually decided to part ways. It was amicable."" Till, a Chicago teenager who was visiting relatives in Mississippi in 1955, was arrested at gunpoint and severely beaten. One of his eyes was gouged before he was killed by a single gunshot to the head. The teen's body was tied to a large fan before being dumped into a river. Members of the Till family could not be reached for comment Friday by CNN, but the Rev. Al Sharpton said he has set up a meeting next week between PepsiCo officials and members of the family. In a statement to CNN, Sharpton said that the situation was a ""teaching moment for Lil Wayne, corporate America and the family of Emmett Till ... more than a condemnation of any one artist, it is an affirmation of Emmett Till and a call for more sensitivity about what we say and do in our culture.""","Lil Wayne's lyrics include what PepsiCo calls an ""offensive reference"" to Emmett Till .
Till, a 14-year-old black youth from Chicago, was murdered in Mississippi in 1955 .
A publicist for the rapper's label says the artist and the company parted ways amicably ."
